example_id                                                      | status  | run_time        |
./spec/models/category_spec.rb[1:1]                             | passed  | 0.00108 seconds |
./spec/models/category_spec.rb[1:2]                             | passed  | 0.00668 seconds |
./spec/models/category_spec.rb[1:3]                             | passed  | 0.00587 seconds |
./spec/models/deputy_spec.rb[1:1]                               | passed  | 0.00542 seconds |
./spec/models/deputy_spec.rb[1:2]                               | passed  | 0.00191 seconds |
./spec/models/deputy_spec.rb[1:3]                               | passed  | 0.01052 seconds |
./spec/models/deputy_spec.rb[1:4]                               | passed  | 0.01029 seconds |
./spec/models/deputy_spec.rb[1:5]                               | passed  | 0.01034 seconds |
./spec/models/deputy_spec.rb[1:6]                               | passed  | 0.01025 seconds |
./spec/models/deputy_spec.rb[1:7]                               | passed  | 0.01014 seconds |
./spec/models/deputy_spec.rb[1:8]                               | passed  | 0.00996 seconds |
./spec/models/deputy_spec.rb[1:9]                               | passed  | 0.00984 seconds |
./spec/models/deputy_spec.rb[1:10]                              | passed  | 0.00895 seconds |
./spec/models/expenditure_spec.rb[1:1]                          | passed  | 0.00234 seconds |
./spec/models/expenditure_spec.rb[1:2]                          | passed  | 0.00167 seconds |
./spec/models/expenditure_spec.rb[1:3]                          | passed  | 0.00434 seconds |
./spec/models/expenditure_spec.rb[1:4]                          | passed  | 0.00345 seconds |
./spec/models/organization_spec.rb[1:1]                         | passed  | 0.00112 seconds |
./spec/models/organization_spec.rb[1:2]                         | passed  | 0.00364 seconds |
./spec/services/open_data_quotas_file_spec.rb[1:1:1:1]          | passed  | 0.01076 seconds |
./spec/services/open_data_quotas_file_spec.rb[1:1:2:1]          | pending | 0.00001 seconds |
./spec/services/open_data_quotas_file_spec.rb[1:1:2:2]          | passed  | 0.02806 seconds |
